/content/tts-engine/gdrive/My Drive/wavs/001001.wav|be nAm xodAvand baxSande baxSAyeSgar
/content/tts-engine/gdrive/My Drive/wavs/002040.wav|ey farzandAn esrA?il ne?mathAyi rA ke be SomA arzAni dAStam be yAd Avarid va be peymAni ke bA man basteid vafA kanid tA man niz be peymAn SomA vafA konam va dar rAh anjAm vazife va amal be peymAnhA tanahA az man betarsid
/content/tts-engine/gdrive/My Drive/wavs/002041.wav|va be AnCe nAzel kardeam qorAn imAn biyAvarid ke neSAnehAy An bA AnCe dar ketAbhAy SemAsat motAbeqat dArad va noxostin kAfar be An nabASid va AyAt marA be bahAye nACizi naforuSid va be xAter darAmad moxtasari neSAnehAy qorAn va payAmbar eslAm rA ke dar katb SomA mojud est penhAn nakanid va tanahA az man va moxAlefat dasturhAyam betarsid noh az mardom
/content/tts-engine/gdrive/My Drive/wavs/002042.wav|va haq rA bA bAtel nayAmizid va haqiqat rA bA inke midAnid ketmAn nakanid
/content/tts-engine/gdrive/My Drive/wavs/002043.wav|va namAz rA bepA dArid va zakAt rA bepardAzid va hamrAh roku? konandegAn roku? kanid va namAz rA bA jamA?at begozArid
/content/tts-engine/gdrive/My Drive/wavs/002044.wav|AyA mardom rA be niki va imAn be payAmbari ke sefAt u ASkArA dar torAt Amade da?vat mikanid amA xodtAn rA farAmuS minamAyid bA inke SomA ketAb AsemAni rA mixAnid AyA nemiAndiSid
/content/tts-engine/gdrive/My Drive/wavs/002045.wav|az sabr va namAz yAri ju?id va bA esteqAmat va mahAr havashAye daruni va toje be parvardegAr niru begirid va in kAr joz barAy xASe?An gerAn est
/content/tts-engine/gdrive/My Drive/wavs/002046.wav|AnhA kasAni hastand ke midAnand didArkonande parvardegAr xiSand va be suy u bAzmigardand
/content/tts-engine/gdrive/My Drive/wavs/002047.wav|ey bani esrA?il ne?mathAyi rA ke be SomA arzAni dAStam be xAter biyAvarid va niz be yAd Avarid ke man SomA rA bor jahAniyAn bartari baxSidam
/content/tts-engine/gdrive/My Drive/wavs/002048.wav|va az An ruz betarsid ke kasi mojAzAt digari rA nemipazirad va noh az u SefA?at pazirofte miSavad va noh qarAmat az u qabul xAhad Sod va noh yAri miSavand
/content/tts-engine/gdrive/My Drive/wavs/002050.wav|va be xAter biyAvarid hengAmi rA ke daryA rA barAy SomA SekAftim va SomA rA nejAt dAdim va far?uniyAn rA qarq sAxtim dar hAli ke SomA tamASA mikardid
/content/tts-engine/gdrive/My Drive/wavs/002051.wav|va be yAd Avarid hengAmi rA ke bA musA Cehel Sab va?de gozArdim va u barAy gereftan farmAnhAye elAhi be mi?AdgAh Amad sepas SomA gusAle rA ba?d az u ma?bud xod entexAb nomudid dar hAli ke setamkAr budid
/content/tts-engine/gdrive/My Drive/wavs/002052.wav|sepas SomA rA ba?d az An baxSidim SAyad Sekar in ne?mat rA bejA Avarid
/content/tts-engine/gdrive/My Drive/wavs/002053.wav|va niz be xAter Avarid hengAmi rA ke be musA ketAb va vasile taSxis haq az bAtel rA dAdim tA hedAyat Savid
/content/tts-engine/gdrive/My Drive/wavs/002055.wav|va niz be yAd Avarid hengAmi rA ke goftid ey musA mA hargez be to imAn naxAhim Avarad magar inke xodA rA ASkArA bA CeSm xod bebinim pas sA?eqe SomA rA gereft dar hAli ke tamASA mikardid
/content/tts-engine/gdrive/My Drive/wavs/002056.wav|sepas SomA rA pas az margatAn hayAt baxSidim SAyad Sekar ne?mat u rA bejA Avarid
/content/tts-engine/gdrive/My Drive/wavs/002059.wav|amA efrAd setamgar in soxan rA ke be AnhA gofte Sode bud taqyir dAdand va be jAy An jomle estehzA?Amizi goftand lezA bor setamgarAn dar barAbar in nAfarmAni azAbi az AsemAn ferestAdim
/content/tts-engine/gdrive/My Drive/wavs/002064.wav|sepas SomA pas az in rugardAn Sodid va agar fazl va rahmat xodAvand bor SomA nabud az ziyAnkArAn budid
/content/tts-engine/gdrive/My Drive/wavs/002065.wav|be tor qat? az hAl kasAni az SomA ke dar ruz Sanbe nAfarmAni va gonAh kardand AgAh Sodeid mA be AnhA goftim be surat buzinehAyi tardSode darAyid
/content/tts-engine/gdrive/My Drive/wavs/002066.wav|mA in keyfar rA dars ebrati barAy mardom An zamAn va naslahAy ba?d az AnAn va pand va Andorzi barAy parhizkArAn qarAr dAdim
/content/tts-engine/gdrive/My Drive/wavs/002069.wav|goftand az parvardegAr xod bexAh ke barAy mA roSan sAzad rang An Cegune bASad goft xodAvand miguyad gAvi bASad zard yekdast ke rang An binandegAn rA SAd va masrur sAzad
/content/tts-engine/gdrive/My Drive/wavs/002070.wav|goftand az xedAyat bexAh barAy mA roSan konad ke Cegune gAvi bAyad bASad zirA in gAv barAy mA mobaham Sode va agar xodA bexAhad mA hedAyat xAhim Sod
/content/tts-engine/gdrive/My Drive/wavs/002072.wav|va be yAd Avarid hengAmi rA ke feredi rA be qatl resAndid sepas darbAreye qAtel u be nezA? pardAxtid va xodAvand AnCe rA maxfi midAStid ASkAr misAzad
/content/tts-engine/gdrive/My Drive/wavs/002073.wav|sepas goftim qesmati az gAv rA be maqtul bezanid tA zende Savad va qAtel rA mo?arefi konad xodAvand ingune mordegAn rA zende mikand va AyAt xod rA be SomA neSAn midahad SAyad andiSe kanid
/content/tts-engine/gdrive/My Drive/wavs/002075.wav|AyA entezAr dArid be A?in SomA imAn biyAvarand bA inke edei az AnAn soxanAn xodA rA miSenidand va pas az fahmidan An rA tahrif mikardand dar hAli ke elm va etelA? dAStand
/content/tts-engine/gdrive/My Drive/wavs/002077.wav|AyA inhA nemidAnand xodAvand AnCe rA penhAn midArand yA ASkAr mikanand midAnad
/content/tts-engine/gdrive/My Drive/wavs/002078.wav|va pArei az AnAn avAmAni hastand ke ketAb xodA rA joz yek moSt xyAlAt va ArezuhA nemidAnand va tanahA be pendArhAyeSAn del basteand
/content/tts-engine/gdrive/My Drive/wavs/002079.wav|pas vAy bor AnhA ke neveStei bA dast xod minevisand sepas miguyand in az taraf xodAsat tA An rA be bahAye kami beforuSand pas vAy bor AnhA az AnCe bA dast xod neveStand va vAy bor AnAn az AnCe az in rAh be dast miAvarand
/content/tts-engine/gdrive/My Drive/wavs/002080.wav|va goftand hargez AtaS duzax joz Cand ruzi be mA naxAhad rasid begu AyA peymAni az xodA gerefteid va xodAvand hargez az peymAnaS taxalof nemivarzad yA Cizi rA ke nemidAnid be xodA nesbat midahid
/content/tts-engine/gdrive/My Drive/wavs/002081.wav|Ari kasAni ke kasb gonAh konand va AsAr gonAh sarAsar vojudeSAn rA bepuSAnad AnhA ahl AtaSand va jAvdAne dar An xAhand bud
/content/tts-engine/gdrive/My Drive/wavs/002082.wav|va AnhA ke imAn Avarde va kArhAy Sayeste anjAm dAdeand AnAn ahl beheStanand va hamiSe dar An xAhand mAnd
/content/tts-engine/gdrive/My Drive/wavs/002084.wav|va hengAmi rA ke az SomA peymAn gereftim ke xun ham rA narizid va yekdigar rA az sarzamin xod birun nakanid sepas SomA eqrAr kardid va bor in peymAn govAh budid
/content/tts-engine/gdrive/My Drive/wavs/002086.wav|inhA hamAn kasAnand ke Axarat rA be zendegi donyA foruxteand az in ro azAb AnhA taxfif dAde nemiSavad va kasi AnhA rA yAri naxAhad kord
/content/tts-engine/gdrive/My Drive/wavs/002088.wav|va AnhA az ruy estehzA goftand delhAy mA dar qalAf est va mA az gofte to Cizi nemifahmim Ari hamin tor est xodAvand AnhA rA be xAter kafrSAn az rahmat xod dur sAxte be hamin dalil Cizi dark nemikanand va kamtar imAn miAvarand
/content/tts-engine/gdrive/My Drive/wavs/002092.wav|va niz musA An hame mo?ajazAt rA barAy SomA Avarad va SomA pas az qeybat u gusAle rA entexAb kardid dar hAli ke setamgar budid
/content/tts-engine/gdrive/My Drive/wavs/002094.wav|begu agar An CenAn ke moda?i hastid sorAy digar dar nazd xodA maxsus SemAsat noh sAyere mardom pas Arezuy marg kanid agar rAst miguyid
/content/tts-engine/gdrive/My Drive/wavs/002095.wav|vali AnhA be xAter e?mAl badi ke piS az xod ferestAdeand hargez Arezuy marg naxAhand kord va xodAvand az setamgarAn AgAh est
/content/tts-engine/gdrive/My Drive/wavs/002098.wav|kasi ke doSman xodA va fereStegAn va rasulAn u va jabra?il va mikAyil bASad kAfar est va xodAvand doSman kAfarAn est
/content/tts-engine/gdrive/My Drive/wavs/002099.wav|mA neSAnehAy roSani barAy to ferestAdim va joz fAseqAn kasi be AnhA kafar nemivarzad
/content/tts-engine/gdrive/My Drive/wavs/002100.wav|va AyA Cenin nist ke har bAr AnhA yahud peymAni bA xodA va payAmbarbastand jam?i An rA dur Afkandand va moxAlefat kardand Ari biStar AnAn imAn nemiAvarand
/content/tts-engine/gdrive/My Drive/wavs/002101.wav|va hengAmi ke ferestAdei az suy xodA be sarAqeSAn Amad va bA neSAnehAyi ke nazd AnhA bud motAbeqat dASt jam?i az AnAn ke be AnhA ketAb AsemAni dAde Sode bud ketAb xodA rA poSt sar Afkandand guyi hiC az An xabar nadArand
/content/tts-engine/gdrive/My Drive/wavs/002103.wav|va agar AnhA imAn miAvardand va parhizkAri piSe mikardand pAdASi ke nazd xodAsat barAy AnAn behtar bud agar AgAhi dAStand
/content/tts-engine/gdrive/My Drive/wavs/002105.wav|kAfarAn ahl ketAb va hamCenin moSrekAn dust nadArand ke az suy xodAvand xeyr va barkati bor SomA nAzel gardad dar hAli ke xodAvand rahmat xod rA be har kas bexAhad extesAs midahad va xodAvand sAheb fazl bozorg est
/content/tts-engine/gdrive/My Drive/wavs/002106.wav|har hokmi rA nosax kanim va yA nosax An rA be ta?xir AndAzim behtar az An yA hamAnand An rA miAvarim AyA nemidAnesti ke xodAvand bor har Ciz tavAnA est
/content/tts-engine/gdrive/My Drive/wavs/002107.wav|AyA nemidAnesti ke hokumat AsmAnhA va zamin az An xodAsat va haq dArad har gune taqyir va tabdili dar ahkAm xod tabq masAleh bedahad va joz xodA vali va yAvari barAy SomA nist va ust ke maslehat SomA rA midAnad va ta?yin mikand
/content/tts-engine/gdrive/My Drive/wavs/002108.wav|AyA mixAhid az payAmbar xod hamAn taqAzAy nAma?quli rA bekanid ke piS az in az musA kardand va bA in bahAnejuyihA az imAn Avardan sar bAz zadand kasi ke kafar rA be jAy imAn bepazirad az rAh mostaqim aql va fetrat gomrAh Sode est
/content/tts-engine/gdrive/My Drive/wavs/002110.wav|va namAz rA barpA dArid va zakAt rA adA kanid va har kAr xeyri rA barAy xod az piS miferestid An rA nazd xodA dar sorAy digar xAhid yAft xodAvand be e?mAl SomA binAst
/content/tts-engine/gdrive/My Drive/wavs/002111.wav|AnhA goftand hiC kas joz yahud yA nesAri hargez dAxele beheSt naxAhad Sod in Arezuy AnhAst begu agar rAst miguyid dalil xod rA bor in mozu? biyAvarid
/content/tts-engine/gdrive/My Drive/wavs/002112.wav|Ari kasi ke ruy xod rA taslim xodA konad va nikukAr bASad pAdAS u nazd parvardegAreS sAbet est noh tarsi bor AnhAst va noh qamgin miSavand banAbar in beheSt xodA dar enhesAr hiC goruhi nist
/content/tts-engine/gdrive/My Drive/wavs/002115.wav|maSreq va maqreb az An xodAsat va be har su ro kanid xodA AnjAst xodAvand biniyAz va dAnAst
/content/tts-engine/gdrive/My Drive/wavs/002116.wav|va yahud va nesAri va moSrekAn goftand xodAvand farzandi barAy xod entexAb karde est monazah est u balke AnCe dar AsmAnhA va zamin est az An ust va hame dar barAbar u xAze?and
/content/tts-engine/gdrive/My Drive/wavs/002117.wav|hasti baxS AsmAnhA va zamin ust va hengAmi ke farmAn vojud Cizi rA sAder konad tanahA miguyad mojud bAS va An fori mojud miSavad
/content/tts-engine/gdrive/My Drive/wavs/002119.wav|mA to rA be haq barAy beSArat va bim dAdan mardom jahAn ferestAdim va to mas?ovl gomrAhi duzxiyAn pas az eblAq resAlat nisti
/content/tts-engine/gdrive/My Drive/wavs/002121.wav|kasAni ke ketAb AsemAni be AnhA dAdeim yahud va nesAri An rA CenAn ke Sayeste An est mixAnand AnhA be payAmbar eslAm imAn miAvarand va kasAni ke be u kAfar Savand ziyAnkArand
/content/tts-engine/gdrive/My Drive/wavs/002122.wav|ey bani esrA?il ne?mat marA ke be SomA arzAni dAStam be yAd Avarid veniz be xAter Avarid ke man SomA rA bor jahAniyAn bartari baxSidam
/content/tts-engine/gdrive/My Drive/wavs/002123.wav|az ruzi betarsid ke hiC kas az digari defA? nemikanad va hiCgune avazi az u qabul nemiSavad va SefA?at u rA sud nemidahad va az hiC su?i yAri nemiSavand
/content/tts-engine/gdrive/My Drive/wavs/002127.wav|va niz be yAd Avarid hengAmi rA ke ebrAhim va esmA?il pAyehAye xAne ka?be rA bAlA mibordand va migoftand parvardegArA az mA bepazir ke to SenavA va dAnAyi
/content/tts-engine/gdrive/My Drive/wavs/002128.wav|parvardegArA mA rA taslim farmAn xod qarAr deh va az dudmAn mA omati ke taslim farmAnat bASand be vojud Avar va tarz ebAdatmAn rA be mA neSAn deh va tobe mA rA bepazir ke to tobepazir va mehrbAni
/content/tts-engine/gdrive/My Drive/wavs/002129.wav|parvardegArA dar miyAn AnhA payAmbari az xodeSAn barangiz tA AyAt to rA bor AnAn bexAnad va AnhA rA ketAb va hekmat biyAmuzad va pAkize konad zirA to tavAnA va hakimi va bor in kAr qAderi
/content/tts-engine/gdrive/My Drive/wavs/002130.wav|Cez efrAd safiye va nAdAn Ce kasi az Ayin ebrAhim bA An pAki va deraxSandegi ruygardAn xAhad Sod mA u rA dar in jahAn bargozidim va u dar jahAn digar az sAlehAn est
/content/tts-engine/gdrive/My Drive/wavs/002131.wav|dar An hengAm ke parvardegAreS be u goft eslAm biyAvar va dar barAbar haq taslim bAS u farmAn parvardegAr rA az jAn va del paziroft va goft dar barAbar parvardegAr jahAniyAn taslim Sodam
/content/tts-engine/gdrive/My Drive/wavs/002132.wav|va ebrAhim va ya?qub dar vApasin lahazAt omr farzandAn xod rA be in Ayin vasiyat kardand va har kodAm be farzandAn xiS goftand farzandAn man xodAvand in Ayin pAk rA barAy SomA bargozide est va SomA joz be Ayin eslAm taslim dar barAbar farmAn xodA az donyA naruyad
/content/tts-engine/gdrive/My Drive/wavs/002133.wav|AyA hengAmi ke marg ya?qub ferA rasid SomA hAzer budid dar An hengAm ke be farzandAn xod goft pas az man Ce Ciz rA miparastid goftand xodAy to va xodAy pedarAnat ebrAhim va esmA?il va eshAq xodAvand yektA rA va mA dar barAbar u taslim hastim
/content/tts-engine/gdrive/My Drive/wavs/002134.wav|AnhA omati budand ke dargozaStand e?mAl AnAn marbut be xodeSAn bud va e?mAl SomA niz marbut be xod SemAsat va SomA hiCgAh mas?ovl e?mAl AnhA naxAhid bud
/content/tts-engine/gdrive/My Drive/wavs/002135.wav|ahl ketAb goftand yahudi yA masihi Savid tA hedAyat yAbid begu in AyinhAy tahrif Sode hargez nemitavAnad mojeb hedAyat gardad balke az Ayin xAles ebrAhim peyravi kanid va u hargez az moSrekAn nabud
/content/tts-engine/gdrive/My Drive/wavs/002137.wav|agar AnhA niz be mAnand AnCe SomA imAn Avardeid imAn biyAvarand hedAyat yAfteand va agar sarpiCi konand az haq jedA Sodeand va xodAvand Sar AnhA rA az to daf? mikand va u Senavande va dAnAst
/content/tts-engine/gdrive/My Drive/wavs/002138.wav|rang xodAyi bepazirid rang imAn va tohid va eslAm va Ce rangi az rang xodAyi behtar est va mA tanahA u rA ebAdat mikanim
/content/tts-engine/gdrive/My Drive/wavs/002139.wav|begu AyA dar bAre xodAvand bA mA mohAje mikanid dar hAli ke u parvardegAr mA va SemAsat va e?mAl mA az An mA va e?mAl SomA az An SemAsat va mA u rA bA exlAs parasteS mikanim va movahed xAlesim
/content/tts-engine/gdrive/My Drive/wavs/002141.wav|be har hAl AnhA omati budand ke dargozaStand AnCe kardand barAy xodeSAn est va AnCe ham SomA kardeid barAy xodtAn est va SomA mas?ovl e?mAl AnhA nistid
/content/tts-engine/gdrive/My Drive/wavs/002142.wav|be zudi sabokmoqzAn az mardom miguyand Ce Ciz AnhA mosalmAnAn rA az qeblei ke bor An budand bAzgardAnid begu maSreq va maqreb az An xodAsat xodA har kas rA bexAhad be rAh rAst hedAyat mikand
/content/tts-engine/gdrive/My Drive/wavs/002146.wav|kasAni ke ketAb AsemAni be AnAn dAdeim u payAmbar rA hamCon farzandAn xod miSenAsand vali jam?i az AnAn haq rA AgAhAne ketmAn mikanand
/content/tts-engine/gdrive/My Drive/wavs/002147.wav|in farmAn taqyir qeble hokm haqi az taraf parvardegAr tust banAbarin hargez az tardidkonandegAn dar An mabAS
/content/tts-engine/gdrive/My Drive/wavs/002148.wav|har tAyefei qeblei dArad ke xodAvand An rA ta?yin karde est banAbarin ziyAd dar bAre qeble goftegu nakanid va be jAy An dar nikihA va e?mAl xeyr bor yekdigar sebqat juyid har jA bASid xodAvand hame SomA rA barAy pAdAS va keyfar dar barAbar e?mAl nik va bad dar ruz rastAxiz hAzer mikand zirA u bor har kAri tavAnAst
/content/tts-engine/gdrive/My Drive/wavs/002149.wav|az har jA va az har Sahr va noqtei xArej Sodi be hengAm namAz ruy xod rA be jAneb masjed alharAm kan in dastur haqi az taraf parvardegAr tust va xodAvand az AnCe anjAm midahid qAfel nist
/content/tts-engine/gdrive/My Drive/wavs/002151.wav|hamAngune ke bA taqyir qeble ne?mat xod rA bor SomA kAmel kardim rasuli az xodtAn dar miyAn SomA ferestAdim tA AyAt mA rA bor SomA bexAnad va SomA rA pAk konad va be SomA ketAb va hekmat biyAmuzad va AnCe rA nemidAnestid be SomA yAd dahad
/content/tts-engine/gdrive/My Drive/wavs/002152.wav|pas be yAd man bASid tA be yAd SomA bASam va Sekar marA guyid va dar barAbar ne?mathAyem kafarAn nakanid
/content/tts-engine/gdrive/My Drive/wavs/002153.wav|ey efrAdi ke imAn Avardeid az sabr va esteqAmat va namAz komak begirid zirA xodAvand bA sAberAn est
/content/tts-engine/gdrive/My Drive/wavs/002154.wav|va be AnhA ke dar rAh xodA koSte miSavand morde naguyid balke AnAn zendeandoli SomA nemifahmid
/content/tts-engine/gdrive/My Drive/wavs/002155.wav|qat?an
/content/tts-engine/gdrive/My Drive/wavs/002156.wav|AnhA ke har gAh masibati be iSAn mirasad miguyand mA az An xodA?im va be suy u bAzmigardim
/content/tts-engine/gdrive/My Drive/wavs/002157.wav|inhA hamAnhA hastand ke altAf va rahmat xodA SAmel hAleSAn Sode va AnhA hastand hedAyatiyAftegAn
/content/tts-engine/gdrive/My Drive/wavs/002159.wav|kasAni ke dalAyel roSan va vasile hedAyati rA ke nAzel kardeim ba?d az Anke dar ketAb barAy mardom bayAn nomudim ketmAn konand xodA AnhA rA la?nat mikand va hame la?nkonandegAn niz AnhA rA la?n mikanand
/content/tts-engine/gdrive/My Drive/wavs/002160.wav|magar AnhA ke tobe va bAzgaSt kardand va e?mAl bad xod rA bA e?mAl nik eslAh nomudand va AnCe rA ketmAn karde budand ASkAr sAxtand man tobe AnhA rA mipaziram ke man tavAb va rahimam
/content/tts-engine/gdrive/My Drive/wavs/002161.wav|kasAni ke kAfar Sodand va dar hAle kafar az donyA raftand la?nat xodAvand va fereStegAn va hame mardom bor AnhA xAhad bud
/content/tts-engine/gdrive/My Drive/wavs/002162.wav|hamiSe dar An la?n va duri az rahmat parvardegAr bAqi mimAnand noh dar azAb AnAn taxfif dAde miSavad va noh mohlati xAhand dASt
/content/tts-engine/gdrive/My Drive/wavs/002163.wav|va xodAy SomA xodAvand yegAne?i est ke qeyr az u ma?budi nist ust baxSande va mehrbAn va dArAye rahmat Am va xAs
/content/tts-engine/gdrive/My Drive/wavs/002166.wav|dar An hengAm rahbarAn gomrAh va gomrAhkonande az peyrovAn xod bizAri mijuyand va keyfar xodA rA moSAhede mikanand va dasteSAn az hame jA kutAh miSavad
/content/tts-engine/gdrive/My Drive/wavs/002168.wav|ey mardom az AnCe dar zamin est halAl va pAkize bexorid va az gAmhAy SeytAn peyravi nakanid Ce inke u doSman ASkAr SemAsat
/content/tts-engine/gdrive/My Drive/wavs/002169.wav|u SomA rA faqat be badihA va kAr zeSt farmAn midahad va niz dastur midahad AnCe rA ke nemidAnid be xodA nesbat dahid
/content/tts-engine/gdrive/My Drive/wavs/002170.wav|va hengAmi ke be AnhA gofte Savad az AnCe xodA nAzel karde est peyravi kanid miguyand noh mA az AnCe pedarAn xod rA bor An yAftim peyravi minamAyim AyA agar pedarAn AnhA Cizi nemifahmidand va hedAyat nayAftand bAz az AnhA peyravi xAhand kord
/content/tts-engine/gdrive/My Drive/wavs/002172.wav|ey kasAni ke imAn Avardeid az ne?mathAye pAkizei ke be SomA ruzi dAdeim bexorid va Sekar xodA rA bejA Avarid agar u rA parasteS mikanid
